table,sql,ch,diff
cgg_opsdeldeb_tblopsdeliverydebriefingdetail,167469282,165650706,1818576
gg_dbo_call_logs,54613,0,54613
cgg_opsdeldeb_tblopsdeliverydebriefing,3834610,3794885,39725
cgg_opsdeldeb_tblopsdeliverydebriefing_exception_log_master,223844,220697,3147
gg_dbo_cntrack,2222690520,2222688675,1845
hrm_hr_employees,48712,48370,342
gg_dbo_employeecellnumber,46906,46658,248
gg_dbo_couriersheet,309401968,309401723,245
gg_dbo_paymentcoddetail,623198,622961,237
gg_dbo_reasonphaseii,37544222,37544200,22
gg_dbo_cnfinanceoperationdetail,102949718,102949703,15
cgg_ggf_tblcashcollection,2313059,2313045,14
cgg_ggf_tblcashcollectionbankdepositdetail,856707,856697,10
gg_dbo_reasonphasei,37606913,37606911,2
hrm_hr_branches,201,200,1
gg_dbo_booking,116437718,116437717,1
gg_dbo_generalclientaccount,226970,226969,1
